epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.6,2.90006,4.39537,1.58294,0.01011,0.30353,0.03317,0.01083,2.62707,4.09667,1.33461,0.000329365,0.000329365,0.000329365
2,278.038,2.60971,3.54346,1.40192,0.38681,0.14212,0.05401,0.01593,2.58,4.25662,1.45326,0.000651764,0.000651764,0.000651764
3,410.693,2.54435,3.14959,1.3841,0.10494,0.15109,0.06978,0.02191,2.45945,3.27649,1.38923,0.000963163,0.000963163,0.000963163
4,538.646,2.51578,3.11391,1.38482,0.30144,0.17711,0.07694,0.02489,2.39723,3.05434,1.37105,0.0009505,0.0009505,0.0009505
5,664.902,2.46833,3.01434,1.37609,0.21894,0.17871,0.10365,0.03365,2.40302,3.02497,1.40122,0.000934,0.000934,0.000934
6,792.181,2.44912,2.92076,1.39159,0.2631,0.21885,0.11289,0.03904,2.34293,3.02327,1.3402,0.0009175,0.0009175,0.0009175
7,917.962,2.44418,2.8277,1.35639,0.25201,0.24891,0.13848,0.04718,2.34053,2.83091,1.3797,0.000901,0.000901,0.000901
8,1047.32,2.45911,2.85068,1.36544,0.25571,0.20414,0.12609,0.04116,2.33931,2.81288,1.34774,0.0008845,0.0008845,0.0008845
9,1181.13,2.42762,2.74611,1.36225,0.34357,0.21865,0.13578,0.0462,2.35376,2.80242,1.36802,0.000868,0.000868,0.000868
10,1307.93,2.37479,2.68462,1.33145,0.2239,0.23219,0.14548,0.04845,2.29231,2.73449,1.36422,0.0008515,0.0008515,0.0008515
11,1434.34,2.3936,2.66075,1.35645,0.22284,0.22172,0.14993,0.04971,2.40051,2.71619,1.4047,0.000835,0.000835,0.000835
12,1560.47,2.41679,2.6348,1.3674,0.2211,0.21864,0.1614,0.05431,2.32397,2.63217,1.33313,0.0008185,0.0008185,0.0008185
13,1687.24,2.37746,2.60059,1.3196,0.21375,0.25295,0.16194,0.05574,2.26904,2.79562,1.33154,0.000802,0.000802,0.000802
14,1814.33,2.37368,2.56231,1.30892,0.24658,0.2528,0.18137,0.06153,2.30541,2.62173,1.32335,0.0007855,0.0007855,0.0007855
15,1940.27,2.37102,2.61819,1.34698,0.19037,0.20888,0.1465,0.04988,2.26712,2.64411,1.33657,0.000769,0.000769,0.000769
16,2065.9,2.34995,2.52678,1.3201,0.19738,0.23981,0.15868,0.05619,2.28205,2.70394,1.35063,0.0007525,0.0007525,0.0007525
17,2191.97,2.35504,2.50815,1.32239,0.23569,0.25158,0.16925,0.05808,2.26923,2.58098,1.32885,0.000736,0.000736,0.000736
