epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,2318.66,2.34064,2.51975,1.32895,0.24861,0.24958,0.18763,0.06515,2.25829,2.58745,1.31219,0.0007195,0.0007195,0.0007195
19,2447.75,2.32035,2.47976,1.31431,0.23435,0.24833,0.18534,0.06258,2.2686,2.45888,1.33599,0.000703,0.000703,0.000703
20,2575.71,2.30193,2.40464,1.30832,0.22061,0.24883,0.16344,0.05851,2.30335,2.56245,1.3848,0.0006865,0.0006865,0.0006865
21,2704.52,2.29848,2.34929,1.31364,0.26836,0.23792,0.19591,0.06556,2.29375,2.43671,1.33891,0.00067,0.00067,0.00067
22,2831.49,2.32163,2.40011,1.30222,0.21513,0.25633,0.17564,0.06063,2.24425,2.51006,1.32008,0.0006535,0.0006535,0.0006535
23,2958.78,2.29132,2.39684,1.30876,0.23616,0.27492,0.19825,0.06747,2.25804,2.3613,1.33824,0.000637,0.000637,0.000637
24,3088.86,2.33563,2.3738,1.29572,0.25065,0.27803,0.20101,0.06603,2.22748,2.5322,1.2972,0.0006205,0.0006205,0.0006205
25,3217.91,2.30481,2.39453,1.30372,0.28966,0.27536,0.21397,0.0737,2.2308,2.35809,1.31761,0.000604,0.000604,0.000604
26,3349.61,2.27825,2.30299,1.3271,0.19511,0.27147,0.18152,0.06021,2.30849,2.40654,1.40188,0.0005875,0.0005875,0.0005875
27,3476.81,2.28826,2.28839,1.31516,0.24762,0.28816,0.20915,0.0736,2.26456,2.40974,1.34543,0.000571,0.000571,0.000571
28,3605,2.29015,2.31591,1.31973,0.25358,0.28414,0.21284,0.07651,2.25289,2.37516,1.34541,0.0005545,0.0005545,0.0005545
29,3732.69,2.3013,2.28767,1.29604,0.26701,0.25262,0.21306,0.07491,2.25866,2.32169,1.36244,0.000538,0.000538,0.000538
30,3860.07,2.25574,2.22517,1.30717,0.26803,0.23565,0.18611,0.06401,2.29124,2.40627,1.37461,0.0005215,0.0005215,0.0005215
31,3987.27,2.24623,2.20716,1.29978,0.26123,0.28279,0.21352,0.07456,2.28596,2.31827,1.36331,0.000505,0.000505,0.000505
32,4114.3,2.24117,2.233,1.28225,0.29094,0.26411,0.22591,0.07595,2.24717,2.41911,1.30686,0.0004885,0.0004885,0.0004885
33,4240.7,2.24773,2.20645,1.27667,0.30301,0.30489,0.23156,0.07772,2.23567,2.27451,1.30426,0.000472,0.000472,0.000472
34,4367.43,2.21228,2.19383,1.27542,0.28139,0.3608,0.24871,0.08623,2.20921,2.29784,1.29466,0.0004555,0.0004555,0.0004555
35,4493.7,2.21754,2.16095,1.2625,0.27423,0.30341,0.22577,0.07662,2.20641,2.27575,1.30078,0.000439,0.000439,0.000439
36,4622.05,2.26015,2.18119,1.27856,0.2855,0.28553,0.2179,0.07262,2.23495,2.32478,1.30933,0.0004225,0.0004225,0.0004225
37,4749.64,2.20185,2.15849,1.26813,0.29697,0.24281,0.21188,0.07644,2.22048,2.27338,1.30835,0.000406,0.000406,0.000406
38,4878.62,2.23938,2.15479,1.28547,0.29502,0.30912,0.23379,0.07992,2.25492,2.25865,1.32423,0.0003895,0.0003895,0.0003895
39,5006.93,2.19895,2.13688,1.27713,0.29621,0.28569,0.23634,0.08082,2.24944,2.39134,1.3402,0.000373,0.000373,0.000373
40,5134.66,2.20931,2.10796,1.27101,0.2625,0.27167,0.22787,0.08031,2.21997,2.25399,1.31382,0.0003565,0.0003565,0.0003565
41,5261.56,2.21025,2.05178,1.28379,0.31044,0.32889,0.27643,0.09449,2.23861,2.18049,1.33595,0.00034,0.00034,0.00034
42,5388.31,2.17423,2.04954,1.27203,0.3176,0.29253,0.22901,0.07843,2.24606,2.21774,1.32866,0.0003235,0.0003235,0.0003235
43,5514.88,2.15975,2.05628,1.28898,0.29157,0.33498,0.2503,0.083,2.27499,2.23958,1.32003,0.000307,0.000307,0.000307
44,5641.96,2.16491,2.06779,1.24906,0.32674,0.30599,0.26543,0.09177,2.23479,2.19346,1.32094,0.0002905,0.0002905,0.0002905
45,5771.94,2.18326,2.02559,1.2539,0.31777,0.29685,0.2551,0.08324,2.22626,2.17955,1.30086,0.000274,0.000274,0.000274
46,5899.03,2.16581,2.00005,1.26726,0.3676,0.3038,0.2682,0.08802,2.22756,2.15717,1.30624,0.0002575,0.0002575,0.0002575
47,6023.7,2.16452,1.98303,1.24644,0.30786,0.30536,0.25895,0.09135,2.2368,2.17845,1.31449,0.000241,0.000241,0.000241
48,6148.11,2.17076,1.99742,1.25686,0.30593,0.33646,0.25708,0.08984,2.26435,2.19417,1.33642,0.0002245,0.0002245,0.0002245
49,6272.36,2.15231,1.95595,1.25638,0.36815,0.28633,0.26098,0.09016,2.21403,2.15364,1.32584,0.000208,0.000208,0.000208
50,6397.21,2.15138,1.98925,1.24179,0.36067,0.3197,0.27741,0.09297,2.23298,2.21657,1.31683,0.0001915,0.0001915,0.0001915
51,6520.03,2.13276,1.997,1.2827,0.3142,0.33074,0.26003,0.08843,2.23744,2.16992,1.29936,0.000175,0.000175,0.000175
