epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10178.6,2.16933,2.0693,1.27348,0.36767,0.28538,0.25285,0.08619,2.20955,2.24675,1.30585,0.0003235,0.0003235,0.0003235
43,10419,2.17415,2.06845,1.29906,0.36537,0.3147,0.27039,0.09467,2.20485,2.26552,1.30235,0.000307,0.000307,0.000307
44,10653.1,2.16937,2.07155,1.253,0.34336,0.31125,0.27385,0.09372,2.20806,2.19281,1.31227,0.0002905,0.0002905,0.0002905
45,10903.1,2.17524,2.02664,1.2503,0.32226,0.31423,0.27054,0.09161,2.20515,2.1977,1.2956,0.000274,0.000274,0.000274
46,11202.1,2.16322,1.9969,1.26927,0.28567,0.32939,0.2631,0.09122,2.20712,2.19373,1.29786,0.0002575,0.0002575,0.0002575
47,11460,2.17631,1.9856,1.25766,0.28963,0.33344,0.26586,0.09487,2.22109,2.20927,1.30446,0.000241,0.000241,0.000241
48,11725,2.17611,2.00713,1.25729,0.3568,0.27895,0.26122,0.09137,2.23003,2.14601,1.31522,0.0002245,0.0002245,0.0002245
49,11986,2.15113,1.96621,1.25534,0.39679,0.2814,0.2736,0.09826,2.22496,2.18019,1.30804,0.000208,0.000208,0.000208
50,12250.5,2.15348,2.00538,1.24367,0.36638,0.29186,0.27331,0.09583,2.22493,2.16713,1.30352,0.0001915,0.0001915,0.0001915
51,12509.6,2.14371,1.9857,1.29185,0.35124,0.30138,0.25363,0.0883,2.24143,2.16747,1.31522,0.000175,0.000175,0.000175
52,12758,2.12741,1.96741,1.29747,0.38081,0.32857,0.28465,0.09874,2.20703,2.1444,1.3114,0.0001585,0.0001585,0.0001585
53,13021.4,2.09732,1.91347,1.28063,0.36498,0.32643,0.27566,0.09479,2.21645,2.17017,1.30726,0.000142,0.000142,0.000142
54,13295.7,2.10244,1.88194,1.28477,0.34147,0.33781,0.28122,0.09632,2.23318,2.11659,1.30626,0.0001255,0.0001255,0.0001255
55,13554.9,2.09309,1.86891,1.26332,0.35474,0.35581,0.28752,0.10107,2.21797,2.08358,1.30105,0.000109,0.000109,0.000109
56,13808.3,2.1001,1.85089,1.27398,0.36807,0.3242,0.27728,0.09781,2.23072,2.13041,1.31061,9.25e-05,9.25e-05,9.25e-05
57,14066.9,2.08524,1.84771,1.25822,0.32885,0.34094,0.28496,0.1019,2.23416,2.09421,1.31303,7.6e-05,7.6e-05,7.6e-05
58,14329.6,2.07376,1.82087,1.26934,0.35125,0.33807,0.28874,0.10197,2.2181,2.08941,1.30653,5.95e-05,5.95e-05,5.95e-05
59,14577.4,2.08299,1.82214,1.27555,0.34161,0.34763,0.29657,0.10324,2.22785,2.07358,1.30724,4.3e-05,4.3e-05,4.3e-05
60,14817.7,2.07045,1.79613,1.25498,0.35843,0.33337,0.29606,0.10297,2.2284,2.07391,1.3084,2.65e-05,2.65e-05,2.65e-05
